UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10801,M19632,M,303.6,312.0,1435,47.83142170026614,213,0,0,0,0,0,0
10802,L47597,L,297.4,308.4,1394,61.84610627027539,344,0,0,0,0,0,0
10803,L54104,L,301.2,311.6,1461,76.07456155540739,338,0,0,0,0,1,0
10804,H30851,H,298.8,309.9,1439,55.34835232505466,127,0,0,0,0,0,0
10805,L56610,L,298.1,308.7,1671,38.69534610436869,140,0,0,0,0,0,0
10806,H33834,H,302.6,310.2,1873,27.79812131941106,183,1,0,0,0,0,0
10807,H39410,H,298.9,308.4,1632,47.24783791701413,125,0,0,0,0,0,0
10808,L49387,L,299.8,309.2,1591,46.85082257807682,244,0,0,0,0,0,0
10809,L48488,L,298.9,310.1,1750,34.75516260827674,291,0,0,0,0,0,0
10810,L49831,L,299.9,309.5,2008,28.199676839535563,290,0,0,0,0,0,0
10811,L53900,L,301.3,310.6,1458,63.08340628973516,218,1,0,0,0,0,0
10812,L51876,L,303.4,311.6,1449,59.22130421237789,278,1,0,0,0,0,0
10813,L48808,L,297.9,307.8,1451,52.219425313120695,196,0,0,0,0,0,0
10814,L52669,L,302.6,312.1,1499,44.62881843189324,299,0,0,0,0,0,1
10815,L56868,L,299.1,310.1,1367,61.55937363902825,177,0,0,0,0,0,0
10816,L51173,L,302.3,311.3,1324,66.8863477691708,245,0,0,0,0,0,0
10817,H36916,H,300.3,311.7,1655,42.50833812904717,336,0,0,0,0,0,0
10818,L55279,L,300.2,311.7,1603,40.83299800170273,314,0,0,0,0,0,0
10819,L47809,L,298.3,310.1,1523,64.63273015826904,230,0,0,0,0,0,0
10820,L49636,L,299.1,308.6,1555,49.11940886606199,247,0,0,0,0,0,0
10821,L50247,L,300.1,309.2,1533,48.13968506394864,220,0,0,0,0,0,0
10822,L54374,L,300.1,310.1,1380,76.22615627951882,195,0,0,0,0,0,0
10823,L55207,L,300.6,311.9,1425,57.74586590624745,314,0,0,0,0,0,0
10824,H37545,H,299.9,311.2,1364,67.75576778911032,173,0,0,0,0,0,0
10825,L55978,L,297.3,308.4,1469,51.8373218850107,191,0,0,0,0,0,0
10826,H37294,H,300.7,312.4,1457,63.10096258969116,191,0,0,0,0,0,0
10827,M24510,M,299.1,310.0,1437,51.706700661706094,343,0,0,0,0,0,0
10828,L51778,L,303.1,311.2,1399,65.97768107135776,244,0,0,0,0,0,0
10829,M22278,M,300.2,311.4,1427,52.2080442943534,289,0,0,0,0,0,0
10830,L57172,L,298.8,308.4,1484,49.78035196792016,149,0,0,0,0,0,0
10831,L56817,L,299.2,310.3,1463,46.51589083691356,282,0,0,0,0,0,0
10832,L54374,L,300.1,310.1,1380,67.1485709529228,188,0,0,0,0,0,0
10833,L49344,L,299.6,309.2,1540,48.75857056336052,336,0,0,0,0,0,0
10834,L50314,L,300.2,309.6,1359,69.33379499081495,211,0,0,0,0,0,0
10835,L52796,L,303.0,312.3,1480,52.772168858789044,234,0,0,0,0,0,0
10836,M24004,M,297.5,308.5,1447,52.2244086683632,261,0,0,0,0,0,0
10837,M23005,M,299.7,310.9,1685,45.59195975714458,197,0,0,0,0,0,0
10838,M19366,M,302.4,310.1,1520,51.93835825316003,216,0,0,0,0,0,0
10839,M15257,M,297.4,308.3,1774,35.01705387852312,296,0,0,0,0,0,0
10840,L56733,L,299.3,310.7,1495,51.9127373403601,248,0,0,0,0,0,0
10841,L53070,L,301.4,311.0,1634,38.784115740244275,267,0,0,0,0,0,0
10842,M15958,M,296.9,307.4,1521,44.81377691589802,157,0,0,0,0,0,0
10843,M16276,M,298.7,309.9,2083,24.025042842278463,332,0,0,0,0,0,0
10844,L48362,L,297.3,308.3,1410,59.558662292187456,123,0,0,0,0,0,0
10845,L56325,L,297.6,308.5,1574,51.54936242110308,245,0,0,0,0,0,0
10846,M24412,M,299.3,310.8,1523,54.39587368311054,255,0,0,0,0,0,0
10847,M20932,M,300.9,310.8,1695,40.301477529881986,325,0,0,0,0,0,0
10848,H29571,H,298.4,308.2,1478,64.60370451550016,305,0,0,0,0,0,0
10849,L51579,L,302.3,310.1,1653,39.6200898097968,141,0,0,0,0,0,0
10850,L49513,L,299.2,308.5,1445,59.340594116203285,341,0,0,0,0,0,0
10851,H37729,H,298.7,309.8,1422,48.53829518514962,209,0,0,0,0,0,0
10852,M20475,M,303.0,312.2,1257,104.69468300665817,233,0,0,0,1,0,0
10853,H38812,H,297.7,308.2,1526,51.14272588800563,271,1,0,0,0,0,0
10854,L49694,L,298.9,308.6,2069,23.9788693939383,136,0,0,0,0,0,0
10855,L50064,L,300.6,309.6,1409,51.25918634141277,186,0,0,0,0,0,0
10856,H31734,H,299.2,308.8,1440,54.96840353740134,324,0,0,0,0,0,0
10857,L50414,L,300.8,309.4,1489,48.35283931031746,190,0,0,0,0,0,0
10858,M17181,M,299.2,308.8,1314,65.21335888048608,308,0,0,0,0,0,0
10859,L51550,L,302.0,309.9,1308,83.91207611699247,309,0,0,1,0,1,0
10860,M23555,M,297.2,308.6,1498,56.90811617212345,121,0,0,0,0,0,0
10861,M19443,M,302.9,311.2,1467,49.241837106247694,216,0,0,0,0,0,0
10862,L56379,L,297.9,308.8,1613,44.38049785338958,186,0,0,0,0,0,0
10863,L54471,L,300.2,310.5,1416,69.08405475387025,188,0,0,0,0,0,0
10864,M23008,M,299.5,310.7,1488,55.16723592447955,212,0,0,0,0,0,0
10865,M23441,M,297.5,308.0,1429,65.0566122240591,278,0,0,0,0,0,0
10866,H35886,H,300.4,309.6,1571,44.66021447620485,210,0,0,0,0,0,0
10867,H33166,H,302.3,311.1,1455,50.061319313757444,279,0,0,0,0,0,0
10868,L49042,L,297.9,307.7,1517,59.20820278260851,215,0,0,0,0,0,0
10869,M23148,M,298.8,310.6,1640,43.69198618750623,158,0,0,0,0,0,0
10870,L53272,L,300.9,310.7,1658,36.22493366634495,112,0,0,0,0,0,0
10871,L50920,L,302.3,311.2,1401,58.56424768937362,245,0,0,0,0,0,0
10872,L48578,L,299.1,310.3,1472,62.15418217823622,301,0,0,0,0,0,0
10873,M15958,M,296.9,307.4,1521,46.423679656163024,133,0,0,0,0,0,0
10874,L54253,L,300.7,310.6,1491,63.52227058782608,326,0,0,0,0,0,0
10875,L56817,L,299.2,310.3,1463,48.55651402521574,272,0,0,0,0,0,0
10876,H29571,H,298.4,308.2,1478,55.15302569937142,306,0,0,0,0,0,0
10877,L49712,L,298.9,308.7,1389,61.64654775378679,186,0,0,0,0,0,0
10878,L55800,L,297.6,308.5,1475,54.40658093070761,147,0,0,0,0,0,0
10879,L54471,L,300.2,310.5,1416,64.36381328511226,212,0,0,0,0,0,0
10880,L50821,L,302.3,311.6,1488,58.80538556394114,187,0,0,0,0,0,0
10881,L52016,L,303.3,311.8,1315,77.83377073382377,174,1,0,1,0,0,0
10882,L50498,L,301.4,310.4,1436,69.29555120648092,261,0,0,0,0,0,0
10883,L47358,L,298.2,308.2,1436,67.3110840330984,160,0,0,0,0,0,0
10884,M22746,M,300.6,312.2,2174,23.101742285440622,190,0,0,0,0,0,0
10885,L50170,L,300.6,309.8,1688,38.818583973897034,279,0,0,0,0,0,0
10886,L48071,L,295.7,306.1,1408,60.67625017426636,256,0,0,0,0,0,0
10887,L53707,L,301.2,310.4,1516,64.49582170331607,173,0,0,0,0,0,0
10888,L56180,L,297.0,307.9,1493,65.84125487661042,297,0,0,0,0,0,0
10889,L56154,L,296.8,307.5,1474,62.02408692269815,211,0,0,0,0,0,0
10890,M20475,M,303.0,312.2,1257,101.09792637393117,245,0,0,0,1,0,0
10891,L55331,L,299.5,310.7,1472,55.60948446856629,211,0,0,0,0,0,0
10892,L56276,L,297.2,308.1,1712,44.19732768716095,348,0,0,0,0,0,0
10893,L48204,L,296.2,307.3,1711,38.03725726593149,159,0,0,0,0,0,0
10894,L51026,L,302.3,310.9,1403,63.76086753867545,305,0,0,0,0,0,0
10895,M22660,M,300.1,311.4,1524,59.962101989713865,249,0,0,0,0,0,0
10896,M15218,M,297.6,308.3,1467,49.383813594002596,184,0,0,0,0,0,0
10897,M22752,M,300.9,312.6,1555,53.857207253939606,221,0,0,0,0,0,0
10898,L49978,L,300.3,309.6,1568,55.23209902004882,203,0,0,0,0,0,0
10899,L53542,L,300.0,309.6,1738,35.555661341238505,178,0,0,0,0,0,0
10900,M24510,M,299.1,310.0,1437,56.12297285767572,322,0,0,0,0,0,0
10901,L57071,L,298.8,309.5,1374,62.42528138160867,274,0,0,0,0,0,0
10902,L49861,L,299.8,309.5,1545,41.88570342976992,140,0,0,0,0,0,0
10903,M19509,M,303.3,311.4,1395,80.19904400017748,128,0,0,0,0,0,0
10904,L54622,L,300.0,311.5,1601,52.39200287905135,154,0,0,0,0,0,0
10905,L56884,L,298.9,310.1,1577,64.56552665333054,173,0,0,0,0,0,0
10906,L53313,L,301.1,311.1,1470,57.41917136262589,236,0,0,0,0,0,0
10907,M17708,M,300.3,309.3,1391,74.23873064699112,337,0,0,0,0,0,0
10908,M19716,M,303.6,312.3,1698,43.17539081851784,227,0,0,0,0,0,0
10909,L48208,L,296.3,307.4,1472,52.262564639169476,166,0,0,0,0,0,0
10910,H35468,H,300.7,310.8,1518,50.379913205512,273,0,0,0,0,0,0
10911,L49513,L,299.2,308.5,1445,58.52023783504685,320,0,0,0,0,0,0
10912,L50708,L,302.0,310.9,1378,61.51607898667864,339,0,0,0,0,1,0
10913,L49864,L,299.8,309.4,1460,49.13897054316594,158,0,0,0,0,0,0
10914,L57173,L,298.8,308.4,1401,62.84340610196072,136,0,0,0,0,0,0
10915,M24145,M,298.2,309.0,1410,62.79862479882277,216,0,0,0,0,0,0
10916,L51090,L,302.4,311.4,1831,37.587747714472954,251,0,0,0,0,0,0
10917,L49407,L,299.5,308.8,1965,29.709872217323902,288,1,0,0,0,0,0
10918,M22420,M,300.3,311.3,1377,67.44118134273356,255,0,0,0,0,0,0
10919,M24145,M,298.2,309.0,1410,60.7170182536322,212,0,0,0,0,0,0
10920,L48520,L,298.6,310.2,1569,43.37534098969891,120,1,0,0,0,0,0
10921,L47396,L,298.3,308.6,1499,54.34423002633373,298,0,0,0,0,0,0
10922,L47584,L,297.3,308.6,1297,61.20718595151347,313,0,0,0,0,0,0
10923,M23908,M,297.3,308.4,1370,72.21323589560583,189,0,0,0,0,0,0
10924,H36750,H,299.9,310.5,1549,52.73256165124361,333,0,0,0,0,0,0
10925,L52213,L,304.0,313.1,1564,76.85976351957686,240,0,0,0,0,0,0
10926,M18087,M,300.5,309.3,1589,51.441189606519416,207,1,0,0,0,0,0
10927,M21360,M,300.9,310.0,1416,57.87387297652372,303,0,0,0,0,0,0
10928,L51168,L,302.2,311.3,1554,52.08388465567714,231,0,0,0,0,0,0
10929,M21066,M,300.8,310.6,1669,32.08301571989219,190,1,0,0,0,0,0
10930,H37657,H,299.1,310.4,1369,71.19956924130946,224,0,0,0,0,0,0
10931,L51359,L,302.4,310.9,1349,57.065400621007825,255,0,0,1,0,0,0
10932,L55142,L,301.0,312.2,1372,58.20441429629884,168,0,0,0,0,0,0
10933,M22746,M,300.6,312.2,2174,21.951812133442086,194,0,0,0,0,0,0
10934,M21607,M,301.8,311.1,1597,38.07376780290904,276,0,0,0,0,0,0
10935,M23135,M,298.9,310.6,1720,36.99835392253863,293,0,0,0,0,0,0
10936,L48578,L,299.1,310.3,1472,53.871669708155665,273,0,0,0,0,0,0
10937,H31496,H,299.4,309.2,1513,41.744188782334476,347,0,0,0,0,0,0
10938,M22390,M,300.1,311.4,1617,54.91999851476677,171,0,0,0,0,0,0
10939,M15838,M,296.2,306.8,1526,51.94107031198065,237,0,0,0,0,0,0
10940,L48765,L,298.2,308.3,1400,64.27994642312697,301,0,0,0,0,0,0
10941,L57121,L,298.4,308.1,1395,49.78948641662863,215,0,0,0,0,0,0
10942,M18524,M,302.3,311.7,1685,38.32812456479718,279,0,0,0,0,0,0
10943,L50972,L,302.3,310.9,1459,42.79752779122528,172,0,0,0,0,0,0
10944,M21371,M,301.2,310.1,2280,22.128719165393466,138,0,0,0,0,0,0
