UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10801,M21460,M,301.5,310.6,1424,63.279520720461086,172,0,0,0,0,0,0
10802,L52534,L,303.4,312.6,1462,42.11608330598777,235,0,0,0,0,0,0
10803,L56379,L,297.9,308.8,1613,42.20576699635456,185,0,0,0,0,0,0
10804,L54751,L,300.3,311.1,1606,42.15943533210903,260,0,0,0,0,0,0
10805,H38790,H,297.7,308.4,1738,40.17581326739461,210,0,0,0,0,0,0
10806,L55223,L,300.7,311.9,1486,45.64474805894985,156,0,0,0,0,0,0
10807,H35886,H,300.4,309.6,1571,49.4772132310398,245,0,0,0,0,0,0
10808,M21224,M,299.9,309.6,1489,61.35310250041693,164,1,0,0,0,0,0
10809,L50447,L,301.3,310.0,1550,52.97207963359508,308,0,0,0,0,0,0
10810,L51615,L,302.3,310.1,1321,66.27244053905912,248,0,0,1,0,0,0
10811,M20183,M,303.4,312.7,1399,65.8534036390978,125,0,0,0,0,0,0
10812,L50873,L,302.1,311.3,1521,40.092285915619925,284,1,0,0,0,0,0
10813,L54349,L,300.3,310.2,1492,68.02137032157555,114,0,0,0,0,0,0
10814,L52127,L,303.7,312.7,1395,68.18938949283613,234,0,0,0,0,0,0
10815,H32168,H,299.6,309.1,1630,42.50505059435266,336,0,0,0,0,0,0
10816,L50821,L,302.3,311.6,1488,58.272854682897616,172,0,0,0,0,0,0
10817,L47581,L,297.5,308.5,1722,42.63771413758166,282,0,0,0,0,0,0
10818,L47580,L,297.4,308.5,2100,21.971259818019625,314,0,0,0,0,0,0
10819,H36916,H,300.3,311.7,1655,43.02087446942785,348,0,0,0,0,0,0
10820,L53730,L,301.3,310.7,1516,67.41278720826688,239,1,0,0,0,0,0
10821,L54348,L,300.3,310.3,1704,34.958745255117044,86,1,0,0,0,0,0
10822,M20394,M,302.3,311.7,1494,48.135015512778885,202,0,0,0,0,0,0
10823,L56154,L,296.8,307.5,1474,59.71135265313728,234,0,0,0,0,0,0
10824,L54914,L,300.6,312.0,1670,40.423652077349566,241,0,0,0,0,0,0
10825,M24057,M,297.9,308.8,1469,70.65837459111128,179,0,0,0,0,0,0
10826,M21028,M,300.7,310.6,1778,33.23014366923113,304,0,0,0,0,0,0
10827,L56360,L,297.9,309.1,1507,42.2430576714956,137,0,0,0,0,0,0
10828,H34318,H,303.6,312.4,1480,57.64936141076734,93,0,0,0,0,0,0
10829,M16474,M,297.8,307.9,1802,35.660738768907116,162,1,0,0,0,0,0
10830,L50414,L,300.8,309.4,1489,46.79993768454542,225,1,0,0,0,0,0
10831,L49073,L,297.8,307.5,1631,37.621155165499175,250,0,0,0,0,0,0
10832,L53210,L,300.6,310.7,1397,69.58267198529508,199,0,0,0,0,0,0
10833,L55846,L,297.5,308.7,1407,50.41367690766469,264,1,0,0,0,0,0
10834,L49412,L,299.5,308.6,1672,41.04536471704156,319,0,0,0,0,0,0
10835,L50355,L,300.3,309.6,1468,58.022989187519,313,0,0,0,0,0,0
10836,L51540,L,302.1,310.1,1543,48.92825592577647,291,0,0,0,0,0,0
10837,L51439,L,302.7,311.2,1545,44.280372980366096,243,0,0,0,0,0,0
10838,L52255,L,304.1,313.2,1366,59.67240900165096,143,0,0,0,0,0,0
10839,L47580,L,297.4,308.5,2100,22.67500118945753,319,0,0,0,0,0,0
10840,L53126,L,300.7,310.8,1496,60.16755776067475,208,0,0,0,0,0,0
10841,L56667,L,298.9,309.6,1583,50.2243266115061,330,0,0,0,0,0,0
10842,L49322,L,299.3,308.9,1376,82.21296346162516,276,0,0,0,0,0,0
10843,L52534,L,303.4,312.6,1462,50.23243023274973,256,0,0,0,0,0,0
10844,M15675,M,296.8,307.5,1516,45.76766749522364,256,0,0,0,0,0,0
10845,L47809,L,298.3,310.1,1523,59.32054563467058,234,0,0,0,0,0,0
10846,L55344,L,299.6,310.9,1472,59.28917220489195,263,0,0,0,0,0,0
