UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10001,L52891,L,302.2,311.6,1545,42.567059204175784,222,0,0,0,0,0,0
10002,L54326,L,300.4,309.9,1496,35.513718505400675,229,0,0,0,0,0,0
10003,L48820,L,298.0,307.8,1567,44.41975274537765,162,0,0,0,0,0,0
10004,L53150,L,300.4,310.8,1520,41.2388381943887,228,0,0,0,0,0,0
10005,M19962,M,304.1,313.5,1587,39.1228894026662,183,0,0,0,0,0,0
10006,M23501,M,297.6,308.5,1360,57.36304961513419,131,0,0,0,0,0,0
10007,L54325,L,300.5,310.0,1413,54.094526578130065,215,0,0,0,0,0,0
10008,M17977,M,300.1,309.3,1469,50.06834604770931,61,0,0,0,0,0,0
10009,L54877,L,300.5,311.4,1400,50.305310045900136,72,0,0,0,0,0,0
10010,L56162,L,297.0,307.7,1315,66.75007900567297,205,0,0,0,0,0,0
10011,L56110,L,297.4,308.4,1571,45.02850166094161,44,0,0,0,0,0,0
10012,L56761,L,299.4,310.6,1418,59.09392077004473,81,0,0,0,0,0,0
10013,L53396,L,301.1,310.8,1724,31.530301406599335,177,0,0,0,0,0,0
10014,L49861,L,299.8,309.5,1545,37.21329039237035,96,1,0,0,0,0,0
10015,L47505,L,297.8,308.5,1699,31.01826713694865,275,0,0,0,0,0,0
10016,L53111,L,300.3,310.4,1336,62.09043986038689,93,0,0,0,0,0,0
10017,M21349,M,300.7,309.8,1490,44.780831478395854,247,0,0,0,0,0,0
10018,L53292,L,300.7,310.8,1925,25.71546724888772,141,0,0,0,0,0,0
10019,L47834,L,297.8,309.2,1683,35.143672572545974,236,0,0,0,0,0,0
10020,L55255,L,300.4,312.0,1366,50.06534964495915,171,0,0,0,0,0,0
10021,L52109,L,303.5,312.4,1340,52.957298554017385,150,0,0,0,0,0,0
10022,M18521,M,302.3,311.7,1639,39.61508326654354,199,0,0,0,0,0,0
10023,L49311,L,299.4,309.1,1432,50.79187225192378,184,0,0,0,0,0,0
10024,M20883,M,300.7,310.9,1369,56.348960283728815,132,0,0,0,0,0,0
10025,L51518,L,301.6,309.9,1397,50.72385947372747,143,0,0,0,0,0,0
10026,L47305,L,298.9,308.6,1560,35.87368071951547,195,0,0,0,0,0,0
10027,M22526,M,300.6,311.7,1424,59.04071500713313,245,0,0,0,0,0,0
10028,L48965,L,298.2,308.0,1538,42.71579990502607,128,0,0,0,0,0,0
10029,M17758,M,300.6,309.5,1550,46.81037123519195,147,0,0,0,0,0,0
10030,M21904,M,300.7,310.6,1505,37.08406090844027,182,0,0,0,0,0,0
10031,L51780,L,303.0,311.0,1359,47.04670491475359,164,1,0,1,0,0,0
10032,L53199,L,300.7,310.8,1519,47.312120279866306,96,0,0,0,0,0,0
10033,L48004,L,296.6,307.4,1436,51.17762114384826,205,0,0,0,0,0,0
10034,L53466,L,301.1,310.6,1611,39.697786608782366,148,0,0,0,0,0,0
10035,L48109,L,295.6,306.0,1419,64.42423474306445,65,0,0,0,0,0,0
10036,M16764,M,298.0,307.6,1569,40.07927796464114,230,0,0,0,0,0,0
