UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10001,H35377,H,300.4,310.7,1656,41.76245904998379,195,0,0,0,0,0,0
10002,M14877,M,298.7,309.2,1410,48.63085415474734,111,0,0,0,0,0,0
10003,M18554,M,302.1,311.3,1511,54.77366626825764,252,0,0,0,0,0,0
10004,M18194,M,301.6,310.8,1548,40.191593213963735,222,0,0,0,0,0,0
10005,M20989,M,301.0,311.0,1508,54.74161408279298,169,0,0,0,0,0,0
10006,L55106,L,300.7,311.9,1335,64.3739929175057,244,1,0,0,0,1,0
10007,L47430,L,298.0,308.3,1662,37.2149070664145,72,0,0,0,0,0,0
10008,M16764,M,298.0,307.6,1569,39.40365409791455,245,1,0,0,0,0,0
10009,M16252,M,299.0,310.3,1494,54.232107083737525,207,0,0,0,0,0,0
10010,L47698,L,297.6,309.5,1924,21.94916827276951,82,0,0,0,0,0,0
10011,L55607,L,299.1,310.4,1505,52.33167028451482,242,0,0,0,0,0,0
10012,L47807,L,298.4,310.1,1455,45.83039342627524,165,0,0,0,0,0,0
10013,L56533,L,298.2,308.8,1345,55.71854913251014,89,0,0,0,0,0,0
10014,M15540,M,297.8,309.1,1432,49.928361039767985,65,0,0,0,0,0,0
10015,M22754,M,300.8,312.6,1588,42.032962008226754,180,0,0,0,0,0,0
10016,L49133,L,297.9,307.7,1593,41.116951451776224,128,0,0,0,0,0,0
10017,M24275,M,298.2,308.7,1361,48.50968638644115,69,0,0,0,0,0,0
10018,L55268,L,300.1,311.4,1356,52.999124747388294,201,0,0,0,0,0,0
10019,L54698,L,300.2,311.5,1500,46.69587285933213,58,0,0,0,0,0,0
10020,M20755,M,301.2,310.9,1460,52.399718833667826,220,1,0,0,0,0,0
10021,L56489,L,298.3,309.2,1562,41.412222569409465,215,0,0,0,0,0,0
10022,M22511,M,300.4,311.5,1476,38.36504053641166,213,0,0,0,0,0,0
10023,L55327,L,299.5,310.8,1447,46.9418924580273,133,0,0,0,0,0,0
10024,L48066,L,295.7,306.2,1458,49.881069177018134,162,0,0,0,0,0,0
10025,L50029,L,300.4,309.3,1766,30.126544805527246,276,0,0,0,0,0,0
10026,H36303,H,300.9,311.4,1387,50.41810213057923,182,0,0,0,0,0,0
10027,L55213,L,300.7,311.9,1485,47.27105198610938,63,0,0,0,0,0,0
10028,L53666,L,300.5,309.8,1939,24.009504087354745,226,0,0,0,0,0,0
10029,M19312,M,302.5,310.3,1447,45.63687229035208,217,0,0,0,0,0,0
10030,M23110,M,299.0,310.4,1394,53.16507285687287,194,0,0,0,0,0,0
10031,L52986,L,301.4,310.9,1440,53.35486709659135,248,0,0,0,0,0,0
10032,L56763,L,299.3,310.5,1281,69.09495670241867,59,0,0,0,0,0,0
10033,L53013,L,301.3,311.2,1457,51.50618664142339,77,0,0,0,0,0,0
10034,M15154,M,298.1,308.5,1372,58.926700374585465,177,0,0,0,0,0,0
10035,L50966,L,302.3,310.9,1587,43.233586120241874,75,0,0,0,0,0,0
10036,L55071,L,300.8,312.5,1517,44.65274847560294,160,0,0,0,0,0,0
10037,L47441,L,298.1,308.2,1654,37.188454930082045,91,0,0,0,0,0,0
10038,M15516,M,297.7,309.1,1732,30.72068102592441,219,0,0,0,0,0,0
10039,M24155,M,298.2,309.0,1413,59.40246695337192,168,0,0,0,0,0,0
10040,L55034,L,300.3,311.8,1551,44.975081295197555,73,0,0,0,0,0,0
10041,M17030,M,299.4,309.1,1500,48.91295987630717,65,0,0,0,0,0,0
10042,L48786,L,297.8,307.7,1505,45.65229828741887,86,1,0,0,0,0,0
10043,L50242,L,299.9,309.0,1553,46.07261626290635,152,0,0,0,0,0,0
