UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10801,L55212,L,300.8,312.0,1416,58.03322093033966,139,0,0,0,0,0,0
10802,M17283,M,298.9,308.2,2022,27.06702144128025,171,0,0,0,0,0,0
10803,L51066,L,302.4,311.3,1392,64.79075037106851,184,0,0,0,0,0,0
10804,M16463,M,297.8,307.8,1622,42.30251801952787,149,1,0,0,0,0,0
10805,L53126,L,300.7,310.8,1496,62.218312517504316,201,0,0,0,0,0,0
10806,M21630,M,301.3,310.8,1509,56.44704177673021,173,0,0,0,0,0,0
10807,L49387,L,299.8,309.2,1591,52.18255791953935,239,0,0,0,0,0,0
10808,L50243,L,300.0,309.1,1431,60.98470969901832,207,0,0,0,0,0,0
10809,L52442,L,303.4,312.8,1449,61.61045574574639,190,0,0,0,0,0,0
10810,L54319,L,300.6,310.1,1495,59.647966503373205,228,0,0,0,0,0,0
10811,M17417,M,299.4,309.1,1440,63.59207982563242,248,0,0,0,0,0,0
10812,M21371,M,301.2,310.1,2280,20.099745281541836,132,0,0,0,0,0,0
10813,L50236,L,300.2,309.2,1667,38.26814688156385,183,0,0,0,0,0,0
10814,L48362,L,297.3,308.3,1410,60.68920096170808,120,0,0,0,0,0,0
10815,M24678,M,298.6,309.4,1407,56.42810835497583,264,0,0,0,0,0,0
10816,M22785,M,300.7,311.9,1697,39.26406557637455,314,0,0,0,0,0,0
10817,H30046,H,298.3,310.0,1419,63.70187247625004,221,1,0,0,0,0,0
10818,L49712,L,298.9,308.7,1389,60.34494430149334,194,0,0,0,0,0,0
10819,L55331,L,299.5,310.7,1472,55.085041026239,212,0,0,0,0,0,0
10820,L48501,L,298.9,310.2,1362,66.7623032480689,296,0,0,0,0,0,0
10821,M20244,M,302.9,312.4,1421,57.589984601816106,339,0,0,0,0,0,0
10822,L48876,L,297.9,307.6,1550,52.53504570402599,138,0,0,0,0,0,0
10823,L49228,L,299.3,309.2,1465,53.66529892623122,247,0,0,0,0,0,0
10824,M17042,M,299.5,309.2,1314,86.3800155390712,153,0,0,0,0,0,0
